# The 2018 air quality data in Victoria, Australia
# Normalised version of air_quality_2018.csv.gz - sample points
sample_point_id,sp_name,latitude,longitude
10001,Alphington,-37.77840805,145.0305939
10003,Footscray,-37.80487823,144.8728027
10005,Point Cook,-37.92631531,144.7566986
10006,Altona North,-37.84444809,144.8628998
10011,Traralgon,-38.19428253,146.5314636
10017,Morwell East,-38.22939301,146.4244537
10022,Dandenong,-37.98575974,145.1987
10107,Geelong South,-38.1735611,144.3703003
10136,Mooroolbark,-37.77496719,145.3285065
10169,Melton,-37.70645523,144.5668945
10213,Brooklyn,-37.82209778,144.8471069
10217,Morwell South,-38.23929214,146.3872986
10218,Moe,-38.18646622,146.2583313
10219,Churchill,-38.30431366,146.4149323
10239,Melbourne CBD,-37.80739594,144.9700012
